class,kind,atom_symbols,value_min,value_max,synthon_signatures,synthon_zeff,synthon_threshold,prior_value,prior_sigma,prior_residual,matched_coordinates,molecule_count,column_norm,correction,sigma,posterior_over_prior_sigma,acceptance_status
CC_short,stretch,C|C,,1.42,,,,,,,14,2,1295.53518688,-4.50888977715e-05,0.00234396616793,,review
CC_long,stretch,C|C,1.42,,,,,,,,15,3,827.436227061,0.00418713515315,0.0069315102687,,review
CO_carbonyl,stretch,C|O,,1.28,,,,,,,10,3,816.94843945,-0.0127643758849,0.036008670681,,review
CO_single,stretch,C|O,1.28,,,,,,,,4,3,738.089107664,0.0111875770611,0.0320652297783,,review
CCC_bend,bend,C|C|C,,,,,,0,0.001,-4.26194325536e-06,12,3,1002.7045475,4.26194325536e-06,0.000999980003427,0.00426194325536,review
CCO_bend,bend,C|C|O,,,,,,0,0.001,2.40908093867e-05,12,3,1046.89669845,-2.40908093867e-05,0.000999431486292,0.0240908093867,review
COC_bend,bend,C|O|C,,,,,,0,0.001,-6.89596611494e-06,12,3,1007.06521456,6.89596611494e-06,0.000999947647469,0.00689596611494,review
OCO_bend,bend,O|C|O,,,,,,0,0.001,-1.29329033478e-05,7,3,1010.26162237,1.29329033478e-05,0.000999843086015,0.0129329033478,review
