link,target_absolute_phi_deg,initial_absolute_phi_deg,gic_step_deg,initial_QC_rad,initial_QS_rad,initial_q_rad,initial_CP_q2_angstrom,initial_CP_phi2_deg,initial_CP_x_angstrom,initial_CP_y_angstrom,start_pucker_label,start_pucker_phi_deg,start_pucker_mode,start_pucker_cartesian_phase_deg,start_pucker_q_angstrom,phase_convention,constraint_mode
1,-40.0,24.252621161322477,-64.25262116132248,0.42328809150392804,0.0,0.42328809150392804,,,,,E1,0.0,gic,,,"Four-membered ring; coordinate is D(atom2,atom3,atom4,atom1), atom1 out of the plane",functional-targets
2,-20.0,24.252621161322477,-44.25262116132248,0.42328809150392804,0.0,0.42328809150392804,,,,,E1,0.0,gic,,,"Four-membered ring; coordinate is D(atom2,atom3,atom4,atom1), atom1 out of the plane",functional-targets
3,0.0,24.252621161322477,-24.252621161322477,0.42328809150392804,0.0,0.42328809150392804,,,,,E1,0.0,gic,,,"Four-membered ring; coordinate is D(atom2,atom3,atom4,atom1), atom1 out of the plane",functional-targets
4,20.0,24.252621161322477,-4.252621161322477,0.42328809150392804,0.0,0.42328809150392804,,,,,E1,0.0,gic,,,"Four-membered ring; coordinate is D(atom2,atom3,atom4,atom1), atom1 out of the plane",functional-targets
5,40.0,24.252621161322477,15.747378838677523,0.42328809150392804,0.0,0.42328809150392804,,,,,E1,0.0,gic,,,"Four-membered ring; coordinate is D(atom2,atom3,atom4,atom1), atom1 out of the plane",functional-targets
