heldout,train_molecules,rank,scaled_condition_number,weighted_rms_before,weighted_rms_predicted,delta_weighted_rms,transferability_score
maleic_anhydride,2,9,165.487017358,0.00309730960593,0.143112482994,0.140015173389,46.2054173469
phthalic_anhydride,2,9,127.184027524,0.151617124717,2.75494510418,2.60332797947,18.1704085823
succinic_anhydride,2,9,120.881552077,0.342590390009,0.371609324561,0.0290189345515,1.08470446165
