prior_sigma,rank,acceptance_status,accepted,scaled_condition_number,weighted_rms_before,weighted_rms_after
1e-05,8,review,1,69.4860763632,0.184372532644,0.111107883174
3e-05,8,review,1,69.4864159101,0.184372532644,0.111107749656
0.0001,8,review,1,69.4902759596,0.184372532644,0.111106230909
0.0003,8,review,1,69.5240304296,0.184372532644,0.111092881223
0.001,8,review,1,69.887278089,0.184372532644,0.110941272264
0.003,8,review,1,72.1848134193,0.184372532644,0.109627458953
0.01,8,review,1,81.8663865231,0.184372532644,0.0967570377581
0.03,8,accepted,1,96.1542842352,0.184372532644,0.0511768646056
0.1,8,accepted,1,113.493385751,0.184372532644,0.0240784843403
