class,kind,atom_symbols,patterns,value_min,value_max,synthon_signatures,synthon_zeff,synthon_threshold,prior_value,prior_sigma,prior_residual,correction,sigma,acceptance_status
CC_short,stretch,C|C,,,1.42,,,,,,,-0.0010260265443,0.00465822766111,rejected
CC_long,stretch,C|C,,1.42,,,,,,,,0.0099042720793,0.0167568210668,rejected
CO_carbonyl,stretch,C|O,,,1.28,,,,,,,-0.00203952399652,0.135450747853,rejected
CO_single,stretch,C|O,,1.28,,,,,,,,-0.00752914750868,0.11850785562,rejected
CCC_bend,bend,C|C|C,,,,,,,,,,28459.2458819,576126.985347,rejected
CCO_bend,bend,C|C|O,,,,,,,,,,11020.524832,433370.305213,rejected
COC_bend,bend,C|O|C,,,,,,,,,,242.812563917,939801.907,rejected
OCO_bend,bend,O|C|O,,,,,,,,,,11020.5559265,433370.336822,rejected
